date,asset,is_halted,is_limit_locked,is_st
2023-01-02,AST000,False,False,False
2023-01-02,AST001,False,False,False
2023-01-02,AST002,False,False,False
2023-01-02,AST003,False,False,False
2023-01-02,AST004,False,False,False
2023-01-02,AST005,False,False,False
2023-01-02,AST006,False,False,False
2023-01-02,AST007,False,False,False
2023-01-02,AST008,False,False,False
2023-01-02,AST009,False,False,False
2023-01-02,AST010,False,False,False
2023-01-02,AST011,False,False,False
2023-01-02,AST012,False,False,False
2023-01-02,AST013,False,False,False
2023-01-02,AST014,False,False,False
2023-01-02,AST015,False,False,False
2023-01-02,AST016,False,False,False
2023-01-02,AST017,False,False,False
2023-01-02,AST018,False,False,False
2023-01-02,AST019,False,False,False
2023-01-02,AST020,False,False,False
2023-01-02,AST021,False,False,False
2023-01-02,AST022,False,False,False
2023-01-02,AST023,False,False,False
2023-01-02,AST024,False,False,False
2023-01-02,AST025,False,False,False
2023-01-02,AST026,False,False,False
2023-01-02,AST027,False,False,False
2023-01-02,AST028,False,False,False
2023-01-02,AST029,False,False,False
2023-01-02,AST030,False,False,False
2023-01-02,AST031,False,False,False
2023-01-02,AST032,False,False,False
2023-01-02,AST033,False,False,False
2023-01-02,AST034,False,False,False
2023-01-02,AST035,False,False,False
2023-01-02,AST036,False,False,False
2023-01-02,AST037,False,False,False
2023-01-02,AST038,False,False,False
2023-01-02,AST039,False,False,False
2023-01-02,AST040,False,False,False
2023-01-02,AST041,False,False,False
2023-01-02,AST042,False,False,False
2023-01-02,AST043,False,False,False
2023-01-02,AST044,False,False,False
2023-01-02,AST045,False,False,False
2023-01-02,AST046,False,False,False
2023-01-02,AST047,False,False,False
2023-01-02,AST048,False,False,False
2023-01-02,AST049,False,False,False
2023-01-02,AST050,False,False,False
2023-01-02,AST051,False,False,False
2023-01-02,AST052,False,False,False
2023-01-02,AST053,False,False,False
2023-01-02,AST054,False,False,False
2023-01-02,AST055,False,False,False
2023-01-02,AST056,False,False,False
2023-01-02,AST057,False,False,False
2023-01-02,AST058,False,False,False
2023-01-02,AST059,False,False,False
2023-01-03,AST000,False,False,False
2023-01-03,AST001,False,False,False
2023-01-03,AST002,False,False,False
2023-01-03,AST003,False,False,False
2023-01-03,AST004,False,False,False
2023-01-03,AST005,False,False,False
2023-01-03,AST006,False,False,False
2023-01-03,AST007,False,False,False
2023-01-03,AST008,False,False,False
2023-01-03,AST009,False,False,False
2023-01-03,AST010,False,False,False
2023-01-03,AST011,False,False,False
2023-01-03,AST012,False,False,False
2023-01-03,AST013,False,False,False
2023-01-03,AST014,False,False,False
2023-01-03,AST015,False,False,False
2023-01-03,AST016,False,False,False
2023-01-03,AST017,False,False,False
2023-01-03,AST018,False,False,False
2023-01-03,AST019,False,False,False
2023-01-03,AST020,False,False,False
2023-01-03,AST021,False,False,False
2023-01-03,AST022,False,False,False
2023-01-03,AST023,False,False,False
2023-01-03,AST024,False,False,False
2023-01-03,AST025,False,False,False
2023-01-03,AST026,False,False,False
2023-01-03,AST027,False,False,False
2023-01-03,AST028,False,False,False
2023-01-03,AST029,False,False,False
2023-01-03,AST030,False,False,False
2023-01-03,AST031,False,False,False
2023-01-03,AST032,False,False,False
2023-01-03,AST033,False,False,False
2023-01-03,AST034,False,False,False
2023-01-03,AST035,False,False,False
2023-01-03,AST036,False,False,False
2023-01-03,AST037,False,False,False
2023-01-03,AST038,False,False,False
2023-01-03,AST039,False,False,False
2023-01-03,AST040,False,False,False
2023-01-03,AST041,False,False,False
2023-01-03,AST042,False,False,False
2023-01-03,AST043,False,False,False
2023-01-03,AST044,False,False,False
2023-01-03,AST045,False,False,False
2023-01-03,AST046,False,False,False
2023-01-03,AST047,False,False,False
2023-01-03,AST048,False,False,False
2023-01-03,AST049,False,False,False
2023-01-03,AST050,False,False,False
2023-01-03,AST051,False,False,False
2023-01-03,AST052,False,False,False
2023-01-03,AST053,False,False,False
2023-01-03,AST054,False,False,False
2023-01-03,AST055,False,False,False
2023-01-03,AST056,False,False,False
2023-01-03,AST057,False,False,False
