date,asset,close,volume,dollar_volume
2023-01-02,AST000,69.66523553579368,5000,348326.1776789684
2023-01-02,AST001,71.47338649276038,5000,357366.93246380193
2023-01-02,AST002,73.40090110923843,5000,367004.5055461922
2023-01-02,AST003,79.14481421222362,5000,395724.0710611181
2023-01-02,AST004,68.78300987448658,5000,343915.0493724329
2023-01-02,AST005,67.3436925082014,5000,336718.462541007
2023-01-02,AST006,92.44241160192483,5000,462212.05800962413
2023-01-02,AST007,75.73474497078011,5000,378673.72485390055
2023-01-02,AST008,79.38648727657895,5000,396932.43638289475
2023-01-02,AST009,74.49174741488632,5000,372458.7370744316
2023-01-02,AST010,85.7770784140117,5000,428885.3920700585
2023-01-02,AST011,71.88313560593394,5000,359415.67802966974
2023-01-02,AST012,76.79365655306023,5000,383968.2827653012
2023-01-02,AST013,75.50443714273163,5000,377522.18571365817
2023-01-02,AST014,59.9660295829995,5000,299830.1479149975
2023-01-02,AST015,67.35462970118583,5000,336773.14850592916
2023-01-02,AST016,73.54265478822408,5000,367713.2739411204
2023-01-02,AST017,71.37476911222207,5000,356873.84556111036
2023-01-02,AST018,70.81031341123658,5000,354051.5670561829
2023-01-02,AST019,67.04730239274997,5000,335236.5119637498
2023-01-02,AST020,70.28957426295021,5000,351447.87131475104
2023-01-02,AST021,97.62514015087322,5000,488125.7007543661
2023-01-02,AST022,95.40720332533697,5000,477036.0166266848
2023-01-02,AST023,66.52158708291908,5000,332607.9354145954
2023-01-02,AST024,88.196828046804,5000,440984.14023402
2023-01-02,AST025,64.91050868333537,5000,324552.5434166768
2023-01-02,AST026,69.64544426930046,5000,348227.22134650225
2023-01-02,AST027,74.34018347592472,5000,371700.91737962357
2023-01-02,AST028,73.57157169103886,5000,367857.8584551943
2023-01-02,AST029,77.80746452623461,5000,389037.32263117307
2023-01-02,AST030,70.29154992541983,5000,351457.74962709914
2023-01-02,AST031,85.70634497141384,5000,428531.7248570692
2023-01-02,AST032,64.77026910839375,5000,323851.34554196877
2023-01-02,AST033,68.17562525997742,5000,340878.12629988714
2023-01-02,AST034,62.92864436054097,5000,314643.22180270485
2023-01-02,AST035,66.1426707313403,5000,330713.3536567015
2023-01-02,AST036,79.0377856560917,5000,395188.9282804585
2023-01-02,AST037,87.20208549346685,5000,436010.42746733426
2023-01-02,AST038,67.13367417698505,5000,335668.37088492524
2023-01-02,AST039,99.77368466295819,5000,498868.42331479094
2023-01-02,AST040,69.78642691508144,5000,348932.1345754072
2023-01-02,AST041,79.05912289300258,5000,395295.6144650129
2023-01-02,AST042,64.30683671549369,5000,321534.18357746844
2023-01-02,AST043,75.53563037876299,5000,377678.15189381497
2023-01-02,AST044,70.37578039067066,5000,351878.90195335326
2023-01-02,AST045,71.52830600972601,5000,357641.53004863
2023-01-02,AST046,58.15034315058688,5000,290751.7157529344
2023-01-02,AST047,77.29614490212191,5000,386480.7245106095
2023-01-02,AST048,64.63252679422591,5000,323162.63397112954
2023-01-02,AST049,66.2189451895875,5000,331094.7259479375
2023-01-02,AST050,84.30801924311942,5000,421540.09621559706
2023-01-02,AST051,79.52325607837999,5000,397616.2803918999
2023-01-02,AST052,77.4521760265157,5000,387260.8801325785
2023-01-02,AST053,64.88984350836267,5000,324449.2175418134
2023-01-02,AST054,79.91383353105022,5000,399569.1676552511
2023-01-02,AST055,69.0015957168567,5000,345007.9785842835
2023-01-02,AST056,72.63765043589525,5000,363188.25217947626
2023-01-02,AST057,73.40879723219841,5000,367043.98616099206
2023-01-02,AST058,78.12303709792177,5000,390615.18548960885
2023-01-02,AST059,65.81860793906748,5000,329093.03969533736
2023-01-03,AST000,69.25380689522437,5000,346269.0344761219
2023-01-03,AST001,72.52918320850503,5000,362645.91604252515
2023-01-03,AST002,74.07866639479778,5000,370393.3319739889
2023-01-03,AST003,79.32040708756502,5000,396602.0354378251
2023-01-03,AST004,68.5277902969372,5000,342638.951484686
2023-01-03,AST005,68.65011722721366,5000,343250.5861360683
2023-01-03,AST006,91.13955545090901,5000,455697.7772545451
